                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9104,                 5.0057,                 3.4362,                0.23223,                0.18081,                0.17997,                0.09858,                 3.9719,                 8.3579,                  4.706,                0.08713,                0.00013,                0.00013
                      2,                  2.927,                  2.525,                 3.4871,                0.40095,                0.27306,                0.22373,                0.10033,                 4.9285,                 7.5157,                 6.1805,               0.073266,             0.00026644,             0.00026644
                      3,                  3.147,                 2.5011,                 3.6094,                0.00151,                 0.1845,                0.00081,                0.00023,                   8.85,                  41506,                 73.794,               0.059399,             0.00039918,             0.00039918
                      4,                 3.0276,                 2.7164,                 3.5121,                0.00072,                0.05904,                 0.0004,                0.00018,                 6.9634,                  15928,                 15.225,               0.045528,             0.00052822,             0.00052822
                      5,                 3.0684,                 2.6721,                 3.6502,                0.00072,                0.05904,                 0.0004,                0.00018,                 3.9875,                 1227.6,                 20.679,               0.031654,             0.00065357,             0.00065357
                      6,                  3.181,                 2.9931,                 3.6182,                0.11179,                 0.0738,                0.02669,                0.00836,                 6.7662,                 22.483,                 14.579,               0.017775,             0.00077522,             0.00077522
                      7,                 3.2565,                 3.0458,                  3.695,                0.11179,                 0.0738,                0.02669,                0.00836,                  4e-05,                0.60385,                0.00041,              0.0038932,             0.00089318,             0.00089318
                      8,                 3.2744,                  3.075,                 3.7089,                0.11179,                 0.0738,                0.02669,                0.00836,                0.71453,                 1189.4,                 12.003,              0.0009076,              0.0009076,              0.0009076
                      9,                 3.1653,                  2.995,                 3.6476,                0.11179,                 0.0738,                0.02669,                0.00836,                 8.3088,                 31.379,                 9.3819,              0.0008944,              0.0008944,              0.0008944
                     10,                 3.0807,                 2.8354,                 3.5626,                0.11179,                 0.0738,                0.02669,                0.00836,                 3.8396,                 13.952,                 79.853,              0.0008812,              0.0008812,              0.0008812
                     11,                 3.1184,                 2.6787,                 3.5225,                0.00606,                0.01476,                0.00035,                0.00012,                 8.1616,                 26.561,                 22.764,               0.000868,               0.000868,               0.000868
                     12,                 3.0292,                 2.4612,                 3.5156,                0.02345,                0.05904,                0.00307,                0.00091,                  7.149,                 22.428,                 13.427,              0.0008548,              0.0008548,              0.0008548
                     13,                 2.9797,                 2.5042,                 3.4613,                 0.1269,                0.14022,                0.03225,                0.01008,                 6.2241,                 13.064,                 7.5976,              0.0008416,              0.0008416,              0.0008416
                     14,                 2.9684,                 2.4215,                 3.4344,                0.07919,                0.07011,                0.01056,                0.00312,                 6.8233,                 18.998,                 8.8404,              0.0008284,              0.0008284,              0.0008284
                     15,                 2.8921,                 2.2928,                 3.3747,                0.18156,                 0.2583,                0.09798,                0.04739,                 4.9393,                 17.935,                 6.6572,              0.0008152,              0.0008152,              0.0008152
                     16,                 2.8054,                 2.1155,                 3.3063,                0.38058,                0.26568,                 0.2188,                0.10723,                 4.6731,                 8.1221,                 5.1184,               0.000802,               0.000802,               0.000802
                     17,                 2.8927,                 2.1876,                 3.3689,                0.38748,                0.35481,                0.25734,                0.14411,                 3.7631,                 7.6824,                 4.7486,              0.0007888,              0.0007888,              0.0007888
                     18,                 2.8537,                 2.2319,                 3.3797,                0.43402,                0.32841,                0.24772,                0.13387,                 3.8616,                 5.7974,                 4.7644,              0.0007756,              0.0007756,              0.0007756
                     19,                 2.7616,                 2.0221,                 3.2815,                0.34237,                0.16974,                0.13698,                 0.0679,                 4.4508,                 11.726,                 5.4912,              0.0007624,              0.0007624,              0.0007624
                     20,                 2.7193,                  2.069,                 3.2462,                0.53793,                0.30996,                0.33559,                0.19468,                 3.8713,                 8.2035,                 5.0164,              0.0007492,              0.0007492,              0.0007492
                     21,                 2.7106,                 2.0354,                 3.2291,                0.57768,                0.48708,                0.44834,                0.25864,                 3.7938,                  6.367,                 4.5885,               0.000736,               0.000736,               0.000736
                     22,                 2.7879,                 2.0719,                 3.3267,                0.59429,                0.43173,                0.41378,                0.21254,                  3.779,                 5.9064,                 4.6921,              0.0007228,              0.0007228,              0.0007228
                     23,                 2.6031,                 2.0494,                  3.189,                0.65728,                0.49815,                0.47034,                0.26106,                 3.3554,                 4.1663,                 4.1063,              0.0007096,              0.0007096,              0.0007096
                     24,                 2.6155,                 1.9616,                 3.1878,                0.60708,                0.43911,                0.45103,                 0.2692,                 3.3114,                 4.4464,                 4.1889,              0.0006964,              0.0006964,              0.0006964
                     25,                 2.5481,                  1.844,                 3.1531,                0.63415,                0.49446,                0.51704,                0.29903,                 3.4867,                 4.0543,                 4.1778,              0.0006832,              0.0006832,              0.0006832
                     26,                 2.5802,                 1.7735,                 3.1369,                0.75807,                0.53137,                0.58161,                0.32378,                 3.5226,                 3.6579,                 4.2749,                0.00067,                0.00067,                0.00067
                     27,                 2.4913,                 1.8007,                 3.0693,                0.70984,                0.48708,                0.51335,                0.30227,                  3.349,                 3.8787,                 4.1478,              0.0006568,              0.0006568,              0.0006568
                     28,                 2.5479,                   1.78,                 3.1195,                0.72453,                0.49077,                0.51303,                0.28016,                 3.7787,                 5.2261,                 4.5205,              0.0006436,              0.0006436,              0.0006436
                     29,                 2.4765,                 1.8147,                 3.0945,                0.63531,                0.53506,                0.52829,                   0.31,                 3.4169,                 4.4139,                 4.1182,              0.0006304,              0.0006304,              0.0006304
                     30,                 2.5032,                 1.7101,                 3.0334,                0.72601,                0.54613,                0.52002,                0.32349,                 3.2895,                 4.3856,                 3.9869,              0.0006172,              0.0006172,              0.0006172
                     31,                 2.4571,                 1.6385,                 3.0217,                0.69602,                 0.4797,                0.48645,                0.30753,                 3.6609,                 4.3192,                 4.1381,               0.000604,               0.000604,               0.000604
                     32,                 2.4661,                 1.6948,                 3.0167,                0.73086,                0.49815,                0.52738,                 0.3209,                 3.3083,                 4.6123,                 4.1063,              0.0005908,              0.0005908,              0.0005908
                     33,                 2.5015,                 1.6026,                 3.0628,                 0.6856,                0.57196,                0.55967,                0.33414,                 3.2988,                 3.3926,                 3.9408,              0.0005776,              0.0005776,              0.0005776
                     34,                 2.4226,                 1.5912,                 2.9735,                0.71505,                0.60886,                0.62009,                0.36775,                 3.4319,                 3.0251,                 4.2383,              0.0005644,              0.0005644,              0.0005644
                     35,                 2.5221,                  1.774,                  3.109,                0.50788,                0.43542,                0.33639,                0.18562,                 3.8726,                 5.4037,                 4.6804,              0.0005512,              0.0005512,              0.0005512
                     36,                  2.423,                 1.5858,                 3.0373,                0.80377,                0.54982,                0.53691,                0.33908,                 3.1905,                  3.917,                 3.8797,               0.000538,               0.000538,               0.000538
                     37,                 2.4493,                 1.6557,                 3.0196,                0.78623,                0.50215,                0.51549,                0.32736,                 3.3744,                 4.2978,                 4.1633,              0.0005248,              0.0005248,              0.0005248
                     38,                 2.4059,                 1.6561,                 3.0069,                0.79396,                0.55351,                0.60547,                0.38702,                 3.0198,                 3.3515,                 3.7928,              0.0005116,              0.0005116,              0.0005116
                     39,                 2.3459,                 1.5113,                 2.9525,                0.73351,                0.59927,                0.63868,                0.39247,                 3.1202,                 2.9948,                 3.7391,              0.0004984,              0.0004984,              0.0004984
                     40,                 2.4229,                 1.4593,                 2.9644,                0.70173,                 0.5941,                0.60129,                0.37505,                 3.0782,                 3.8087,                 3.7557,              0.0004852,              0.0004852,              0.0004852
                     41,                 2.4126,                  1.526,                 2.9768,                 0.7771,                0.55317,                0.58978,                0.37314,                 3.0197,                 3.8647,                 3.7713,               0.000472,               0.000472,               0.000472
                     42,                  2.281,                 1.4967,                  2.906,                0.83913,                0.60886,                0.66043,                0.43285,                 2.9752,                 3.0591,                  3.714,              0.0004588,              0.0004588,              0.0004588
                     43,                   2.32,                 1.4783,                 2.9302,                0.80178,                0.59702,                0.63011,                0.42901,                  2.939,                 3.3626,                 3.6627,              0.0004456,              0.0004456,              0.0004456
                     44,                 2.3297,                 1.4185,                 2.8826,                0.80812,                0.60517,                0.62899,                0.40934,                 2.9879,                 3.3339,                 3.6217,              0.0004324,              0.0004324,              0.0004324
                     45,                 2.2339,                 1.4037,                 2.9021,                0.80285,                0.59041,                0.65221,                0.41216,                 3.0125,                  2.834,                  3.637,              0.0004192,              0.0004192,              0.0004192
                     46,                 2.2311,                 1.4407,                 2.8369,                0.79336,                0.59779,                0.62383,                0.40464,                 2.9797,                 3.4697,                 3.6481,               0.000406,               0.000406,               0.000406
                     47,                 2.2191,                 1.4166,                 2.8607,                0.82021,                0.62285,                0.61298,                0.40334,                 2.8604,                 4.0489,                 3.5963,              0.0003928,              0.0003928,              0.0003928
                     48,                 2.2181,                 1.3928,                 2.8718,                0.78612,                0.62362,                0.65163,                  0.451,                 2.8262,                 4.1479,                 3.6011,              0.0003796,              0.0003796,              0.0003796
                     49,                 2.1959,                 1.3841,                 2.8028,                0.74076,                0.60148,                0.60415,                0.39839,                 3.0665,                 3.6437,                 3.8834,              0.0003664,              0.0003664,              0.0003664
                     50,                 2.2396,                 1.3325,                 2.8238,                 0.7853,                0.60737,                0.63084,                0.41879,                 3.0223,                  3.834,                 3.7602,              0.0003532,              0.0003532,              0.0003532
                     51,                 2.1723,                 1.3669,                 2.8352,                0.82827,                0.60886,                0.67933,                 0.4836,                 2.8098,                 3.8744,                  3.603,                0.00034,                0.00034,                0.00034
                     52,                 2.1463,                 1.2994,                 2.8029,                0.86221,                0.56458,                0.64553,                0.45023,                 2.8607,                 3.3787,                 3.6391,              0.0003268,              0.0003268,              0.0003268
                     53,                 2.1186,                  1.275,                 2.7719,                0.82026,                0.63469,                0.69538,                 0.4748,                 2.8826,                 2.8556,                 3.5976,              0.0003136,              0.0003136,              0.0003136
