                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4892,                 1.9622,                 1.7123,                0.13001,                0.06642,                0.04147,                0.01669,                 2.4167,                 3.9231,                 2.7253,                0.08713,                0.00013,                0.00013
                      2,                 1.4556,                 1.2297,                 1.6262,                0.02981,                0.06273,                0.00975,                0.00521,                 2.3105,                 31.255,                 2.8533,               0.073266,             0.00026644,             0.00026644
                      3,                 1.4725,                 1.2795,                 1.6326,                0.00862,                0.02583,                0.00268,                0.00132,                 2.9011,                    inf,                 7.2677,               0.059399,             0.00039918,             0.00039918
                      4,                 1.4486,                 1.2353,                 1.5657,                0.00862,                0.02583,                0.00268,                0.00132,                    nan,                    nan,                    nan,               0.045528,             0.00052822,             0.00052822
                      5,                 1.5033,                 1.2425,                 1.6761,                0.00656,                0.02214,                0.00084,                0.00029,                 4.1272,                    inf,                 17.518,               0.031654,             0.00065357,             0.00065357
                      6,                 1.5548,                 1.4041,                 1.6969,                 0.0056,                0.00738,                0.00051,                0.00013,                 4.9693,                    inf,                 17.638,               0.017775,             0.00077522,             0.00077522
                      7,                 1.5516,                 1.4227,                 1.6784,                0.00765,                0.01476,                0.00088,                0.00029,                 3.9525,                    inf,                 9.6754,              0.0038932,             0.00089318,             0.00089318
                      8,                 1.6129,                 1.4026,                 1.7548,                0.00518,                0.02214,                0.00136,                0.00054,                 3.6115,                    inf,                 7.5285,              0.0009076,              0.0009076,              0.0009076
                      9,                 1.4786,                 1.3082,                 1.6631,                0.01237,                0.02583,                0.00267,                0.00149,                 2.8656,                 16.489,                 4.3398,              0.0008944,              0.0008944,              0.0008944
                     10,                 1.5226,                 1.2892,                 1.6761,                0.03112,                0.01107,                 0.0024,                0.00133,                 2.6622,                  30.52,                 3.8766,              0.0008812,              0.0008812,              0.0008812
                     11,                 1.4796,                 1.2294,                 1.6347,                0.35388,                0.02583,                0.02292,                0.01114,                 2.6654,                 7.4509,                 3.8343,               0.000868,               0.000868,               0.000868
                     12,                 1.4245,                 1.1755,                 1.6063,                0.16452,                0.03321,                0.01861,                0.01282,                 2.2906,                 7.0352,                 3.0632,              0.0008548,              0.0008548,              0.0008548
                     13,                 1.4084,                  1.118,                 1.5541,                0.44323,                0.05535,                0.04943,                0.02512,                 2.3102,                 4.4642,                 3.2081,              0.0008416,              0.0008416,              0.0008416
                     14,                 1.4199,                   1.11,                  1.578,                 0.3184,                0.02214,                0.01765,                0.01004,                 3.0812,                 6.5559,                 4.3049,              0.0008284,              0.0008284,              0.0008284
                     15,                  1.434,                  1.078,                 1.5981,                 0.2101,                 0.0369,                0.03359,                0.02136,                 2.0516,                 3.1106,                 2.4596,              0.0008152,              0.0008152,              0.0008152
                     16,                 1.3643,                 1.0291,                 1.5412,                 0.2079,                0.02952,                0.02419,                 0.0147,                  2.187,                  3.866,                 2.5803,               0.000802,               0.000802,               0.000802
                     17,                 1.3878,                0.98452,                 1.5447,                0.28165,                0.02952,                0.02344,                0.01122,                 1.9699,                 2.8644,                 2.3058,              0.0007888,              0.0007888,              0.0007888
                     18,                 1.3569,                  1.003,                 1.5505,                0.74887,                0.05535,                0.06033,                0.04331,                 1.7144,                 1.7946,                 2.0396,              0.0007756,              0.0007756,              0.0007756
                     19,                 1.3282,                0.96505,                 1.5451,                0.43556,                0.02583,                 0.0241,                0.01637,                 1.9302,                 2.2486,                 2.4124,              0.0007624,              0.0007624,              0.0007624
                     20,                 1.2753,                0.95487,                 1.5023,                0.49205,                0.09225,                0.11806,                 0.0751,                 2.0082,                 2.4003,                 2.2378,              0.0007492,              0.0007492,              0.0007492
                     21,                 1.2987,                0.95304,                 1.5155,                0.56463,                0.04059,                0.06937,                0.05027,                 1.6891,                 2.0961,                 1.9883,               0.000736,               0.000736,               0.000736
