                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5656,                 2.1145,                 1.5709,                0.49938,                0.16236,                0.15581,                 0.0734,                 2.1028,                 3.7236,                 1.9954,                0.08713,                0.00013,                0.00013
                      2,                 1.3846,                 1.1486,                 1.4364,                0.57856,                0.39483,                0.35341,                0.19292,                 1.8852,                 2.6003,                 1.9708,               0.073266,             0.00026644,             0.00026644
                      3,                 1.3943,                 1.0652,                 1.4048,                0.38853,                 0.3306,                0.27124,                0.13086,                 2.0389,                 3.0988,                  2.178,               0.059399,             0.00039918,             0.00039918
                      4,                 1.3176,                0.99594,                  1.355,                0.56675,                0.40548,                0.37906,                0.20719,                 1.8815,                 2.1092,                 2.0117,               0.045528,             0.00052822,             0.00052822
                      5,                 1.3638,                 1.0106,                 1.4221,                0.44555,                0.37638,                0.34582,                0.16856,                 1.9775,                  2.949,                 2.4402,               0.031654,             0.00065357,             0.00065357
                      6,                 1.3855,                 1.0419,                 1.4303,                0.23292,                0.23247,                0.15437,                0.05254,                 2.2226,                 4.9001,                 2.7486,               0.017775,             0.00077522,             0.00077522
                      7,                 1.3917,                 1.0654,                 1.4347,                0.29753,                0.22878,                0.16283,                0.07987,                 2.2873,                 4.6431,                 2.7437,              0.0038932,             0.00089318,             0.00089318
                      8,                 1.4031,                 1.0583,                  1.441,                 0.0774,                 0.0738,                0.02059,                 0.0087,                  3.232,                 6.8437,                 3.5036,              0.0009076,              0.0009076,              0.0009076
                      9,                 1.3208,                0.99387,                 1.3997,                0.31808,                0.28782,                0.19751,                0.09306,                 2.8893,                 4.3088,                 3.1352,              0.0008944,              0.0008944,              0.0008944
                     10,                 1.4016,                0.99374,                 1.4154,                   0.39,                0.43542,                0.32284,                0.15293,                 1.9525,                 3.8203,                 2.0947,              0.0008812,              0.0008812,              0.0008812
                     11,                 1.3591,                0.92208,                 1.3968,                0.49593,                0.51292,                0.43022,                0.16075,                 2.1389,                 2.6738,                 2.4839,               0.000868,               0.000868,               0.000868
                     12,                 1.3379,                0.92946,                 1.3859,                0.63241,                0.35055,                0.39342,                0.22036,                  2.026,                 3.1509,                 2.3309,              0.0008548,              0.0008548,              0.0008548
                     13,                 1.2853,                0.88842,                 1.3466,                0.56034,                0.21402,                0.26339,                0.13767,                 1.9794,                 2.7768,                 2.1077,              0.0008416,              0.0008416,              0.0008416
                     14,                 1.3275,                0.89789,                   1.37,                0.71385,                 0.5203,                0.55417,                0.29082,                 1.8428,                 1.8268,                 1.8743,              0.0008284,              0.0008284,              0.0008284
                     15,                  1.316,                0.89114,                 1.3581,                0.57399,                0.35797,                0.35249,                0.19472,                 1.9022,                 2.8312,                 2.0554,              0.0008152,              0.0008152,              0.0008152
                     16,                 1.2602,                  0.868,                 1.3386,                0.52705,                0.48708,                0.45995,                 0.2562,                 1.8902,                  2.121,                 2.0199,               0.000802,               0.000802,               0.000802
                     17,                 1.2673,                0.80357,                 1.3349,                0.58694,                0.51292,                0.52771,                0.30219,                 1.7753,                 1.7614,                 1.8954,              0.0007888,              0.0007888,              0.0007888
                     18,                 1.2363,                0.81994,                 1.3257,                0.83546,                0.56089,                0.62494,                0.36742,                 1.6419,                 1.4901,                   1.66,              0.0007756,              0.0007756,              0.0007756
                     19,                 1.2485,                0.80851,                 1.3172,                 0.7383,                0.54613,                 0.6068,                0.32816,                 1.8425,                 1.5834,                 1.9038,              0.0007624,              0.0007624,              0.0007624
